date,open,high,low,close,volume,money
2024-04-19,2.4718,2.4785,2.4583,2.4679,70935236,175060089.72
2024-04-22,2.4663,2.4829,2.4636,2.4737,74467699,184210011.44
2024-04-23,2.387,2.3914,2.3789,2.3824,71584813,170545311.56
2024-04-24,2.2981,2.2989,2.2893,2.2927,79349298,181921682.89
2024-04-25,2.2281,2.2465,2.2262,2.2298,91545035,204125976.45
2024-04-26,2.1993,2.2014,2.1908,2.1952,76088890,167033899.95
2024-04-29,2.1609,2.1738,2.159,2.1641,105803944,228972124.38
2024-04-30,2.1466,2.1502,2.1344,2.1453,84490577,181257026.99
2024-05-01,2.1392,2.1449,2.1311,2.138,97349684,208131175.97
2024-05-02,2.1042,2.1078,2.1015,2.1017,100210429,210615011.69
2024-05-03,2.0958,2.1054,2.0953,2.1028,106846106,224671812.61
2024-05-06,2.1291,2.1334,2.1266,2.1287,101903615,216921793.63
2024-05-07,2.1375,2.1426,2.1327,2.1412,71034409,152096877.45
2024-05-08,2.175,2.1842,2.1725,2.1801,93852391,204608697.53
2024-05-09,2.2547,2.2648,2.2505,2.2623,89429868,202317864.51
2024-05-10,2.2346,2.2368,2.2241,2.2349,66317960,148213728.32
2024-05-13,2.302,2.3211,2.2871,2.3086,85990382,198517961.64
2024-05-14,2.264,2.2719,2.2601,2.2611,84763012,191656976.49
2024-05-15,2.2579,2.2655,2.2544,2.2592,85232960,192556933.03
2024-05-16,2.3062,2.3067,2.2926,2.3062,89032093,205322450.7
2024-05-17,2.371,2.3734,2.3617,2.371,72130198,171017759.9
2024-05-20,2.3987,2.4051,2.3983,2.4048,82567808,198561986.42
2024-05-21,2.444,2.4512,2.438,2.4402,87525562,213582434.79
2024-05-22,2.5017,2.5103,2.4976,2.5068,72555598,181884807.44
2024-05-23,2.5087,2.5286,2.4927,2.5127,73529150,184754826.26
2024-05-24,2.5495,2.5522,2.5478,2.5489,92230661,235083280.71
2024-05-27,2.5158,2.5231,2.5064,2.5149,71115697,178847520.86
2024-05-28,2.4318,2.4479,2.4226,2.4391,77827343,189824855.07
2024-05-29,2.3409,2.3413,2.3335,2.3375,79907560,186782226.22
2024-05-30,2.4121,2.4249,2.4007,2.4105,81892091,197399785.92
