date,open,high,low,close,volume,money
2024-04-19,1.2124,1.2179,1.2116,1.2154,135638840,164856740.45
2024-04-22,1.2044,1.2056,1.1987,1.2017,136869947,164478107.37
2024-04-23,1.2251,1.2282,1.221,1.2227,157570963,192665533.49
2024-04-24,1.1812,1.183,1.178,1.1818,178983609,211514097.5
2024-04-25,1.2297,1.2365,1.2267,1.2327,150024517,184942202.52
2024-04-26,1.229,1.2331,1.2259,1.2276,145981179,179208340.88
2024-04-29,1.246,1.2497,1.2407,1.2449,136159853,169501139.39
2024-04-30,1.2689,1.2742,1.2655,1.27,118600351,150626506.27
2024-05-01,1.2803,1.2857,1.2743,1.2786,160332659,205000699.86
2024-05-02,1.2826,1.2875,1.2799,1.2851,136310298,175176102.47
2024-05-03,1.2406,1.2482,1.2342,1.2435,138619943,172371878.31
2024-05-06,1.2384,1.2414,1.237,1.2386,158584757,196420530.48
2024-05-07,1.2201,1.223,1.2168,1.2226,178118821,217775685.89
2024-05-08,1.2267,1.2286,1.2225,1.2234,147923126,180974641.4
2024-05-09,1.1445,1.1487,1.1415,1.1443,151904904,173820588.04
2024-05-10,1.1033,1.1061,1.0983,1.1012,165515072,182272091.52
2024-05-13,1.0952,1.0963,1.0929,1.0939,154769876,169297554.78
2024-05-14,1.1037,1.1046,1.0969,1.1016,162949377,179510673.7
2024-05-15,1.0987,1.1004,1.0941,1.0968,144945094,158971171.71
2024-05-16,1.069,1.073,1.0661,1.0676,133956426,143014347.7
2024-05-17,1.0529,1.0577,1.0497,1.0525,166172475,174903746.84
2024-05-20,1.0494,1.0525,1.0403,1.0419,131487133,137001704.13
2024-05-21,0.9659,0.9703,0.9615,0.9658,173557341,167628410.94
2024-05-22,0.9494,0.9518,0.9466,0.9476,137200286,130010590.79
2024-05-23,0.9295,0.9313,0.9277,0.9303,160724635,149518831.53
2024-05-24,0.9178,0.9185,0.9145,0.9154,210151875,192362524.06
2024-05-27,0.927,0.9289,0.9227,0.9232,202789614,187219299.43
2024-05-28,0.8972,0.9001,0.8961,0.898,234973598,211011046.41
2024-05-29,0.9097,0.9097,0.9033,0.9086,174074420,158167470.75
2024-05-30,0.9174,0.9181,0.9159,0.9164,219894835,201520544.42
2024-05-31,0.9272,0.9311,0.9259,0.9271,188825163,175059877.1
2024-06-03,0.9362,0.937,0.9308,0.9336,215827439,201488343.45
2024-06-04,0.9603,0.9606,0.9565,0.959,165126735,158351936.2
2024-06-05,1.0105,1.0112,1.0069,1.0089,178908587,180493223.07
2024-06-06,1.0038,1.0053,0.9977,1.0045,180728951,181539952.22
2024-06-07,0.9844,0.987,0.9823,0.9849,182394087,179637965.88
2024-06-10,0.9928,0.9987,0.9911,0.9933,140851670,139910336.87
2024-06-11,1.0485,1.0525,1.0418,1.0473,167183773,175090193.55
2024-06-12,1.0488,1.049,1.0465,1.0489,191268125,200627317.93
2024-06-13,1.046,1.0466,1.0409,1.0437,144949781,151289888.44
2024-06-14,1.0267,1.0295,1.0246,1.0278,203022476,208665192.35
2024-06-17,0.9991,1.0066,0.9982,1.0012,164663748,164854922.46
2024-06-18,0.9709,0.9802,0.9704,0.9747,183142225,178509914.67
2024-06-19,1.0505,1.0579,1.046,1.0477,134954983,141385946.23
2024-06-20,1.035,1.0381,1.027,1.0298,166033503,170989323.94
2024-06-21,1.002,1.0029,0.9965,1.0002,169417375,169443791.54
2024-06-24,0.9949,0.9964,0.9925,0.9945,192280918,191223375.11
2024-06-25,1.0109,1.0149,1.0108,1.0137,175971166,178375298.07
2024-06-26,0.9862,0.9873,0.9843,0.9871,175785890,173510200.39
2024-06-27,0.9683,0.9703,0.9636,0.9697,200262752,194200109.09
2024-06-28,0.9705,0.9775,0.9663,0.9685,158965565,153963620.71
2024-07-01,0.9907,0.9921,0.9868,0.9892,165134658,163349302.24
2024-07-02,0.9622,0.9641,0.9579,0.9595,177898041,170700751.68
2024-07-03,0.964,0.9659,0.9577,0.9648,196085073,189187543.87
2024-07-04,1.0098,1.0113,1.0095,1.01,206479788,208553171.53
2024-07-05,0.9831,0.9877,0.9803,0.9865,194571765,191942617.86
2024-07-08,0.9577,0.9605,0.9553,0.9584,171391848,164261521.47
2024-07-09,0.9696,0.9751,0.9619,0.967,180173247,174232701.46
2024-07-10,0.9853,0.9912,0.9836,0.9853,146923018,144759602.6
2024-07-11,0.9747,0.9769,0.9745,0.9766,185576311,181237572.11
2024-07-12,0.9785,0.9793,0.9755,0.9772,161102712,157436754.16
2024-07-15,0.9914,0.9918,0.9906,0.9917,182549057,181040159.14
2024-07-16,1.0133,1.0173,1.0093,1.012,190915386,193209137.52
2024-07-17,1.016,1.0194,1.0136,1.014,205492120,208359186.92
2024-07-18,1.0317,1.0375,1.0272,1.0353,175908288,182121885.68
2024-07-19,0.9909,0.995,0.9898,0.9902,199145240,197199517.35
2024-07-22,0.9985,0.9999,0.9929,0.9966,167060034,166494139.69
2024-07-23,0.9776,0.9835,0.9745,0.9764,161700611,157885169.67
2024-07-24,0.9911,0.997,0.9906,0.9943,183153110,182116339.72
2024-07-25,0.9977,0.9982,0.9975,0.9981,150622247,150332849.49
2024-07-26,1.0457,1.0494,1.0395,1.0416,179293247,186757835.35
2024-07-29,1.0519,1.056,1.0471,1.0485,180128141,188867379.54
2024-07-30,1.0571,1.061,1.0549,1.0559,183254851,193507397.95
2024-07-31,1.0696,1.0732,1.0661,1.0677,181205802,193479993.3
2024-08-01,1.0897,1.093,1.0891,1.0912,160870285,175538968.58
2024-08-02,1.0875,1.0894,1.0818,1.0862,175170978,190278806.46
2024-08-05,1.0573,1.0596,1.0543,1.0568,171991805,181765758.03
2024-08-06,1.0369,1.039,1.0331,1.0348,187005987,193505903.66
2024-08-07,1.0465,1.051,1.0448,1.0507,183828582,193142549.02
2024-08-08,1.0997,1.1,1.0951,1.0993,155823883,171290602.02
2024-08-09,1.0805,1.0864,1.079,1.0794,156117431,168520750.69
2024-08-12,1.1028,1.1043,1.1013,1.1033,159339426,175800883.2
2024-08-13,1.0683,1.071,1.0664,1.0682,153553319,164033109.96
2024-08-14,1.0908,1.0914,1.0845,1.0906,155600752,169702555.39
2024-08-15,1.081,1.0825,1.0752,1.0814,161143169,174260801.62
2024-08-16,1.0815,1.085,1.0803,1.0835,172967723,187402736.03
2024-08-19,1.124,1.1275,1.1215,1.1232,150451166,168985037.57
2024-08-20,1.1889,1.1906,1.1837,1.1876,127692002,151648439.64
2024-08-21,1.184,1.1857,1.1804,1.1809,127585239,150668595.59
2024-08-22,1.1554,1.1596,1.1527,1.1538,164186866,189433702.47
2024-08-23,1.1352,1.1401,1.1292,1.1305,158591821,179289815.14
2024-08-26,1.1446,1.1465,1.14,1.1436,145703477,166622116.48
2024-08-27,1.1426,1.1452,1.1415,1.1419,144286211,164756146.94
