date,open,high,low,close,volume,money
2024-04-19,3.0026,3.0081,2.9941,3.0066,92528788,278195054.79
2024-04-22,3.014,3.0162,2.9999,3.0112,86453296,260326598.34
2024-04-23,3.0177,3.038,3.012,3.0246,79810259,241394492.58
2024-04-24,3.063,3.0894,3.0537,3.0702,75177395,230812348.75
2024-04-25,3.1073,3.1251,3.0883,3.1039,93747147,290984748.02
2024-04-26,3.1266,3.149,3.1084,3.128,81096208,253669505.08
2024-04-29,3.1082,3.1151,3.1078,3.1132,80007258,249082506.68
2024-04-30,3.075,3.085,3.0674,3.0729,73454385,225717921.17
2024-05-01,3.093,3.0937,3.0725,3.0886,86848876,268239765.62
2024-05-02,3.069,3.0715,3.0594,3.0687,79583815,244219386.68
2024-05-03,3.1116,3.1251,3.0884,3.1025,94460130,293063145.07
2024-05-06,3.1074,3.121,3.1048,3.1117,81564026,253799572.79
2024-05-07,3.0783,3.0896,3.0767,3.0823,85076251,262228343.29
2024-05-08,3.0993,3.0996,3.092,3.0936,73956205,228793822.74
2024-05-09,3.1167,3.1271,3.1093,3.1229,70269411,219445540.86
2024-05-10,3.1352,3.1377,3.1235,3.1308,72241714,226171352.73
2024-05-13,3.0898,3.1079,3.0816,3.0997,76341698,236635543.41
2024-05-14,3.1048,3.118,3.0955,3.1109,69549778,216362421.68
2024-05-15,3.1249,3.1278,3.1245,3.126,70974505,221866068.23
2024-05-16,3.1578,3.1715,3.1413,3.1603,68414706,216211417.33
2024-05-17,3.2004,3.2175,3.1785,3.1907,81275629,259330047.26
2024-05-20,3.1479,3.1585,3.1457,3.1539,85336353,269144538.49
2024-05-21,3.134,3.1366,3.1123,3.1342,73185745,229379455.96
2024-05-22,3.1606,3.1718,3.1547,3.1596,90500542,285947175.84
2024-05-23,3.0906,3.0987,3.0844,3.0913,84003635,259677766.86
2024-05-24,3.1303,3.1323,3.1132,3.1233,80287987,250762284.14
2024-05-27,3.0865,3.0968,3.075,3.09,82852204,256013686.06
2024-05-28,3.0706,3.0762,3.04,3.0737,95304687,292940192.21
2024-05-29,3.1264,3.1329,3.1217,3.1326,85047504,266417030.56
2024-05-30,3.136,3.139,3.1111,3.1306,88615583,277417152.53
2024-05-31,3.1206,3.1239,3.1178,3.1189,104200088,324992843.35
2024-06-03,3.1327,3.1515,3.1251,3.131,77782795,243536985.19
2024-06-04,3.1291,3.1371,3.1272,3.1278,78146985,244427502.31
2024-06-05,3.0962,3.1186,3.0915,3.1031,84173434,261195669.47
2024-06-06,3.1169,3.1191,3.1055,3.1138,72427071,225522231.93
2024-06-07,3.2042,3.2094,3.2018,3.2021,72852888,233284693.45
2024-06-10,3.2505,3.2508,3.2296,3.2413,70657507,229021744.29
2024-06-11,3.2632,3.2746,3.2599,3.2605,90215102,294141871.82
2024-06-12,3.267,3.276,3.2662,3.272,80287654,262703474.45
2024-06-13,3.3049,3.3238,3.2931,3.3068,72170670,238654058.75
2024-06-14,3.3463,3.3496,3.3242,3.3344,68567602,228632203.6
2024-06-17,3.2904,3.3003,3.2888,3.2981,81015829,267201073.18
2024-06-18,3.3117,3.3286,3.3033,3.3206,82294214,273267032.41
2024-06-19,3.3252,3.3295,3.3122,3.3235,72242878,240101439.13
